T_min,T_avg,T_max,Angle,AngleC
-11.49,-11.22,-10.95,-21.16,-22.16
-11.34,-11.17,-11,-21.58,-22.58
-11.22,-11.04,-10.85,-21.06,-22.06
-11.14,-10.97,-10.8,-20.65,-21.65
-11,-10.76,-10.52,-19.59,-20.59
-10.99,-10.85,-10.71,-18.87,-19.87
-10.14,-10,-9.85,-17.52,-18.52
-9.28,-9.11,-8.94,-16.79,-17.79
-8.59,-8.42,-8.25,-15.64,-16.64
-7.56,-7.43,-7.3,-14.13,-15.13
-7.25,-7.11,-6.97,-13.59,-14.59
-6.93,-6.73,-6.53,-13.06,-14.06
-6.44,-6.24,-6.03,-12.34,-13.34
-6.03,-5.84,-5.64,-10.96,-11.96
-5.26,-5.09,-4.91,-9.55,-10.55
-4.33,-4.26,-4.19,-8.13,-9.13
-3.52,-3.34,-3.15,-6.23,-7.23
-2.73,-2.61,-2.49,-4.8,-5.8
-1.93,-1.83,-1.73,-3.19,-4.19
-0.99,-0.91,-0.83,-1.8,-2.8
0,0,0,0,
0.87,0.94,1.01,1.47,2.47
1.43,1.61,1.78,2.99,3.99
2.5,2.6,2.69,4.21,5.21
2.93,3.02,3.1,5.12,6.12
3.42,3.45,3.48,6.19,7.19
4.09,4.19,4.28,7.75,8.75
4.98,5.14,5.3,9.2,10.2
5.44,5.51,5.58,10.5,11.5
5.86,5.9,5.94,11.09,12.09
6.18,6.29,6.4,11.62,12.62
6.7,6.77,6.83,11.93,12.93
6.98,7.16,7.34,12.27,13.27
7.52,7.62,7.71,12.9,13.9
8.2,8.39,8.57,14.55,15.55
9.08,9.26,9.44,15.27,16.27
9.7,9.86,10.02,15.89,16.89
10.1,10.22,10.34,17.95,18.95
10.65,10.81,10.97,19.17,20.17
10.57,10.82,11.06,19.34,20.34
11.08,11.21,11.34,19.46,20.46
11.17,11.24,11.31,19.59,20.59
10.92,11.17,11.41,21.47,22.47
